goal,arrays_score,strings_score,graphs_score,dp_score,trees_score,backtracking_score,contest_rating,acceptance_rate,problems_solved
Microsoft,2,26,36,87,16,58,1262,61.706684219346485,922
Amazon SDE,22,29,36,39,31,74,799,48.123425559153674,1266
Amazon SDE,6,63,92,23,24,33,1536,58.23666880683638,446
Microsoft,87,21,25,55,87,19,1265,63.71309945501022,790
Microsoft,55,69,40,44,37,18,1212,76.51671596727564,1436
TCS,71,90,89,11,56,97,1757,31.753274850723827,1086
Competitive Programming,61,21,95,38,8,58,1840,39.019085497487765,1346
Infosys,84,76,41,90,67,72,1247,80.67951577041737,1314
Competitive Programming,80,62,59,28,94,82,1167,83.19988904577897,735
Campus Placement,26,23,87,0,69,37,573,33.048247570359614,40
Amazon SDE,42,49,2,0,92,24,920,48.24831486042886,346
Competitive Programming,75,96,12,36,44,27,1164,30.535148557198227,192
Amazon SDE,88,29,10,11,64,96,1722,71.65964072571055,1056
TCS,53,85,56,67,8,42,1535,67.50670991325413,553
Microsoft,38,6,68,70,64,13,1717,61.06428134692486,1479
Campus Placement,94,57,64,47,65,25,1608,68.04136452905607,1107
TCS,41,72,97,39,68,24,1400,59.578516690680104,1043
Google SDE,29,31,31,14,29,94,1428,43.13626465692562,1489
Amazon SDE,41,34,12,25,99,56,1561,71.48835542255188,669
Infosys,99,80,16,54,10,94,1333,73.08027740857173,169
Infosys,48,21,65,24,17,90,1495,76.98110411902965,1047
Competitive Programming,85,25,20,94,33,25,1508,82.47421731539657,1211
Interview Preparation,14,95,84,41,47,13,1472,71.11478864572999,421
Google SDE,86,92,69,24,5,65,1229,33.000238534329995,1021
TCS,97,36,53,24,24,69,1801,31.14612143505746,62
TCS,42,35,93,24,24,63,1797,70.69288688874886,417
Competitive Programming,34,45,14,16,71,25,1020,33.08280307099662,856
Interview Preparation,83,9,14,74,88,33,794,47.376952906292466,1055
TCS,41,86,8,20,18,54,1267,37.48879381381818,1063
TCS,92,4,75,57,61,19,1159,83.28949474211899,712
Microsoft,91,74,70,15,32,53,906,47.4016785450979,269
Infosys,72,60,87,96,37,35,1287,33.03307994936768,1238
Campus Placement,31,11,20,6,53,59,1828,82.22841483837357,1092
Microsoft,71,19,8,74,26,2,1537,63.48094082303673,785
Google SDE,47,9,95,4,93,56,1645,31.985998781193558,1499
Google SDE,76,25,65,97,94,34,1796,75.83485719375203,1045
Interview Preparation,97,11,70,78,32,99,1631,38.38907866821235,1323
Infosys,24,88,1,24,89,26,1350,74.13399502386817,859
Google SDE,74,7,55,7,49,7,1750,63.15134604136612,363
TCS,23,19,11,0,15,92,1160,39.74133680500373,1108
Campus Placement,67,73,55,61,50,95,944,71.39289290142023,882
Amazon SDE,34,88,78,32,25,83,1819,54.997773658198724,1474
Competitive Programming,35,46,98,77,49,56,1861,65.09555168658638,1000
Infosys,65,93,50,46,30,73,1277,77.82327909232089,1274
Amazon SDE,93,75,69,59,60,81,1239,44.316396348596,1027
Competitive Programming,39,7,58,42,94,32,1567,50.128423738802894,1187
TCS,69,86,70,4,34,66,1071,84.84994818679633,1129
Campus Placement,6,80,10,89,67,89,1327,57.9462958585992,303
Zoho,51,3,2,21,7,82,1470,60.71764709181609,218
Google SDE,76,64,33,62,69,1,1192,45.6991196907239,1376
Competitive Programming,42,36,94,1,79,85,1729,52.88149889318012,1121
Zoho,83,51,84,98,15,25,1477,57.5853460945372,827
Competitive Programming,4,7,92,2,48,22,1359,44.21445995133772,399
Interview Preparation,23,32,18,0,77,32,1694,43.09800311292082,334
Zoho,41,34,6,97,5,27,1445,63.02567487252651,949
Competitive Programming,33,24,10,10,60,94,1185,40.10082943757897,898
Zoho,86,62,62,98,81,2,1779,60.44017541408749,1190
Competitive Programming,72,92,66,68,53,52,1392,68.84177129907253,677
Amazon SDE,25,39,55,92,53,60,402,40.90416919516409,642
Google SDE,89,61,42,16,95,41,1484,71.02329339658155,586
Microsoft,81,27,55,0,43,66,824,49.78264061471177,146
Google SDE,35,52,44,32,32,65,2026,84.58774958203628,437
Competitive Programming,16,98,59,45,31,46,1508,83.84922455553871,1485
Interview Preparation,68,50,32,29,78,92,1508,73.92270484352028,621
Interview Preparation,5,66,27,76,99,45,1625,48.849642709123536,920
Amazon SDE,33,65,95,51,25,30,865,81.54655755381327,828
Interview Preparation,52,79,56,8,94,57,1519,84.93284528645398,150
Competitive Programming,94,96,51,71,2,14,1095,55.42532107179781,1116
Competitive Programming,36,56,3,74,99,9,1277,63.802415949313755,186
Microsoft,19,6,98,2,91,85,1530,30.32928516410457,207
Competitive Programming,57,22,16,47,93,97,1233,32.39432656819413,633
Google SDE,75,94,34,25,34,41,823,57.53287960318436,700
Google SDE,58,43,41,83,25,56,1543,63.512263065812924,1454
Zoho,10,61,59,52,70,72,1614,47.181615140670004,410
Campus Placement,93,81,25,11,65,13,1068,35.45214012106779,480
Zoho,39,83,47,65,28,83,1163,73.02496817687052,227
Google SDE,77,7,63,82,44,98,1340,53.031802112729224,938
TCS,55,93,16,64,20,64,1976,65.68666158940917,641
Competitive Programming,20,12,97,92,67,89,1919,65.7610657454312,960
Campus Placement,86,29,71,22,99,15,1726,60.07612756899587,915
Campus Placement,99,19,72,5,13,79,2022,39.81692638917626,184
Interview Preparation,68,73,6,42,69,41,1723,63.884473882757035,32
TCS,45,27,64,97,82,77,1481,47.7146205094197,244
Zoho,66,18,51,82,60,24,1068,75.05188636277579,1046
Interview Preparation,31,1,40,95,9,47,881,40.6258267166384,1134
Amazon SDE,91,44,15,82,6,20,1253,46.01316276904284,938
Infosys,3,90,65,58,61,52,1457,54.21682814643161,532
Microsoft,25,44,71,93,89,78,2090,70.7007221611637,1485
Infosys,30,61,85,96,44,1,1332,69.64128174355616,440
Campus Placement,73,51,55,60,31,4,1445,48.541047454869755,802
Amazon SDE,75,51,26,41,51,82,1503,58.09136169848926,542
Infosys,60,44,17,64,79,10,1461,42.88290302709281,988
Competitive Programming,16,76,62,23,24,91,1933,72.37009026216079,1326
TCS,52,11,79,34,87,1,1798,40.81904366591827,819
TCS,45,31,25,24,40,96,1401,75.0640802412427,922
Campus Placement,7,16,21,14,87,20,1212,81.52752554155984,1134
Competitive Programming,74,55,57,26,44,42,1231,84.538883961068,1337
Campus Placement,71,20,0,14,1,27,1409,77.13291865446323,880
Microsoft,29,32,95,15,3,39,1186,42.193444419224775,549
Infosys,82,87,45,61,89,80,1671,52.90824973645857,1033
Interview Preparation,17,54,85,55,9,75,1197,34.8860265302762,1388
Google SDE,56,79,26,21,96,40,1866,39.05032479445674,1336
Interview Preparation,7,2,43,86,99,94,1607,32.73333956344084,236
Microsoft,79,86,32,64,79,24,1008,65.25983513484769,1269
Microsoft,25,54,93,16,20,54,1841,59.32529239840167,882
Google SDE,20,17,82,58,4,83,1003,80.43570492326157,901
Microsoft,47,9,32,10,44,55,1881,55.46542222368858,1488
Campus Placement,50,31,53,1,47,43,1623,65.3268687994366,1046
Microsoft,61,76,24,92,5,22,2072,52.087860927613974,219
Amazon SDE,70,82,5,57,25,69,638,75.62013716457426,750
Zoho,42,31,47,69,18,15,1442,80.95066340739335,406
Campus Placement,1,38,92,11,49,66,1392,53.74524552295907,1133
Infosys,20,76,59,54,42,90,1214,34.54857262619784,40
Microsoft,61,8,61,2,78,10,1696,38.99447060517846,907
Amazon SDE,3,11,14,76,22,2,1303,69.62993817518485,658
Competitive Programming,52,5,75,65,40,22,1832,47.889710222373814,338
Google SDE,25,57,58,91,82,71,1120,73.19617348904602,1199
TCS,84,83,37,65,13,80,824,71.23677637822854,1492
Microsoft,10,83,14,0,17,73,1176,68.18659173430638,961
Zoho,48,43,30,79,20,89,1572,74.7819286447387,1133
Microsoft,75,55,64,64,88,30,1700,71.61057286500161,630
Microsoft,41,7,19,30,66,20,1113,64.79233445366162,1206
Microsoft,75,57,28,95,80,25,1556,30.2324964719133,171
Competitive Programming,27,72,74,17,14,51,1505,58.36224644513479,785
Amazon SDE,39,59,72,45,13,59,0,62.73890911856913,1296
Google SDE,46,3,15,25,98,95,1924,82.83552454880714,283
Google SDE,49,20,79,23,35,78,1313,65.77651338504037,1036
Interview Preparation,44,7,32,40,14,90,1118,61.65105653717065,1061
Campus Placement,13,55,54,29,85,62,1422,59.765661391741666,335
Campus Placement,83,34,18,7,76,60,1351,35.68111465583673,949
Competitive Programming,28,20,88,67,15,85,1671,53.51909325615922,1182
Google SDE,39,25,49,45,16,37,1402,37.389563087381546,549
Amazon SDE,73,49,33,59,80,90,1475,32.89837628285834,497
Infosys,52,5,63,45,5,82,1314,48.12080556791477,831
Microsoft,26,4,23,88,36,7,714,65.4993192782836,1471
Google SDE,96,25,31,89,27,26,1454,77.6738534277265,1098
Microsoft,53,26,2,73,87,36,1754,74.57012269842619,365
Zoho,39,55,12,0,71,33,1575,46.2079417849197,1285
TCS,99,62,93,94,23,28,945,32.52981400961507,244
Zoho,80,81,86,61,67,58,1298,52.14729967654432,236
Competitive Programming,63,59,93,45,95,34,1325,47.31286098652298,1346
Infosys,42,36,11,18,66,87,1566,50.419549409788274,58
Campus Placement,58,20,61,2,37,47,1443,60.75044174813079,127
Zoho,25,52,44,85,57,62,496,31.672743777179626,63
Campus Placement,57,52,23,57,87,65,1091,50.39431550051826,574
TCS,7,79,23,89,90,39,1290,60.72483202173707,1077
Google SDE,69,32,93,78,22,15,1204,53.703397903159015,62
Interview Preparation,59,1,80,62,84,64,1339,66.69759185387589,567
Google SDE,49,91,14,76,19,57,1257,40.2372485555179,1135
Google SDE,95,45,99,9,66,34,1328,38.46054600950842,877
Microsoft,69,54,49,53,82,68,1636,46.933093324497904,407
Zoho,91,52,87,17,39,74,1749,35.59510830191193,1171
Campus Placement,81,67,95,68,99,88,1352,42.994402814909776,684
TCS,37,49,87,58,0,71,1575,34.77974516725107,396
Campus Placement,5,42,66,43,20,60,1525,52.108776447987466,120
Amazon SDE,73,19,44,95,49,14,1810,69.13008398464206,623
Zoho,12,21,64,48,9,66,1601,45.759594439181384,26
Google SDE,77,52,19,99,29,27,2019,30.20520031279622,1215
Infosys,96,82,20,55,28,91,1609,60.63870894915,893
Google SDE,31,93,11,19,2,76,914,68.05678509698976,550
Zoho,80,34,99,23,11,56,1803,51.52239003032763,180
TCS,80,44,84,78,92,5,1676,46.334994572700296,418
Competitive Programming,36,4,82,39,68,3,1669,56.9850789714277,749
TCS,0,3,18,57,83,97,1006,35.56818156336,1411
Google SDE,0,14,1,22,43,4,1728,65.41594209948228,1221
Competitive Programming,54,87,32,40,76,93,1696,70.33134318317288,867
Competitive Programming,23,96,36,58,2,40,980,68.75468724448966,239
Amazon SDE,83,73,9,13,17,74,1612,48.07668171134719,128
Interview Preparation,10,98,31,42,57,30,1487,76.3490865444939,1189
Competitive Programming,88,95,93,10,71,10,1402,82.07668238155154,793
Amazon SDE,25,79,80,85,38,63,1374,46.33908226466075,474
Interview Preparation,98,76,29,98,56,61,828,44.44955530083186,113
Interview Preparation,27,80,13,30,14,35,1379,68.72581678509061,707
Competitive Programming,81,68,4,16,16,11,1632,68.95550773757824,184
Campus Placement,9,44,35,81,96,87,1152,58.07295821764005,754
Infosys,52,71,76,52,15,82,1382,80.78260019788128,1454
TCS,47,46,57,45,41,98,1247,38.04732634946198,1167
Infosys,25,89,79,77,99,0,1271,56.25519001987775,1424
Amazon SDE,56,11,12,24,63,5,848,31.93637793250408,674
Amazon SDE,81,37,92,24,3,65,1598,32.89607681099632,42
Interview Preparation,97,38,87,54,21,57,1405,32.95264937746812,64
Infosys,84,88,17,21,69,19,1154,57.048349519717476,528
Microsoft,63,44,7,89,78,11,1759,62.39305041577418,765
Interview Preparation,40,49,68,41,68,9,1656,30.191812308201637,21
Microsoft,40,34,47,11,14,47,1379,64.79005222106906,729
Interview Preparation,35,60,77,54,28,7,1774,56.93354136768205,564
TCS,91,4,2,42,83,33,1874,42.30910373339149,382
Amazon SDE,43,76,69,95,82,2,1117,30.830506714208052,493
TCS,80,44,16,37,66,48,1065,38.58567599144356,982
Google SDE,72,37,50,4,97,18,730,63.018272957532,1261
Google SDE,42,29,56,53,59,83,1187,66.23621120569908,632
Amazon SDE,22,12,42,16,31,38,1283,65.5883661027901,316
Zoho,88,14,41,84,93,58,910,38.423927605926,466
Zoho,42,82,28,16,32,66,1148,80.11678727012247,169
TCS,89,37,85,31,98,69,1621,52.602364045451026,340
Zoho,21,95,97,61,82,33,1479,72.2404082038789,785
Google SDE,17,98,54,33,0,17,1171,39.15645168376953,234
TCS,62,83,69,58,79,21,1771,55.8812791833938,992
Competitive Programming,64,83,42,68,64,51,995,58.68366475621914,738
Infosys,13,76,59,89,25,94,1550,72.36953879555827,1489
TCS,92,89,40,3,42,10,1330,64.18354142474294,1078
Campus Placement,50,47,90,83,26,65,1428,51.961636900532696,1247
Amazon SDE,78,80,48,94,57,59,1490,45.53830570098844,1092
Infosys,46,93,77,71,53,23,1759,83.51262129207981,653
Google SDE,14,3,83,69,45,6,1612,45.6491496365329,625
TCS,16,7,26,80,24,70,1728,37.121065623418176,204
Zoho,80,72,2,88,18,51,1094,46.52291798946635,498
Campus Placement,90,85,80,3,8,87,1313,47.98150197924737,166
Interview Preparation,59,11,67,13,29,31,1116,37.032272997068034,619
Interview Preparation,94,18,41,80,44,51,1007,68.94798063133175,1259
Amazon SDE,15,96,76,59,54,84,1671,64.05407578253406,421
Campus Placement,64,63,53,78,10,80,812,47.41385126159162,1238
Campus Placement,14,3,0,88,92,31,1224,84.61500517164963,1112
TCS,69,1,20,50,34,43,1235,66.02560902411705,1157
Competitive Programming,31,63,66,12,16,24,1336,68.67519626881736,480
Zoho,36,70,46,98,57,50,1056,60.645045755711244,1251
Amazon SDE,79,2,88,73,27,46,1178,60.33661073224189,525
Zoho,5,71,58,29,97,96,1959,31.101224661805357,1137
Google SDE,10,8,0,81,1,80,1321,72.39984523329704,402
Microsoft,74,20,13,66,76,32,1134,80.09074175410792,640
Zoho,24,84,97,17,20,87,1470,36.72451877151391,617
Campus Placement,74,55,39,20,41,37,1422,73.75967633439359,989
Interview Preparation,82,95,66,88,86,35,1977,59.38688543249809,443
Zoho,64,64,8,43,66,53,1318,45.69200388339503,1364
Google SDE,73,85,68,56,75,79,1546,80.64862372318767,1176
Zoho,5,65,24,55,18,24,1040,30.955399614053533,549
Competitive Programming,30,61,63,46,4,69,1184,45.07322070748982,287
Google SDE,15,72,59,6,33,26,1213,78.74374067894162,242
Competitive Programming,68,58,32,94,50,74,955,56.45579715393279,1123
TCS,44,78,4,98,41,28,1414,62.94069924718866,1232
Google SDE,10,79,75,68,42,93,1475,71.237239699394,371
Competitive Programming,4,43,51,72,32,50,1438,38.13854889228362,1474
Google SDE,11,73,74,64,96,99,916,41.83463071178271,35
Zoho,77,8,32,18,72,26,1110,84.92458690698425,1058
Google SDE,9,79,15,40,91,70,1281,43.059898844092544,1427
Infosys,2,11,2,95,66,1,1049,59.656137849379036,516
Microsoft,83,41,4,65,93,8,787,46.428899845425555,1334
Campus Placement,13,84,61,81,20,87,1687,76.82808147706503,1372
Infosys,89,29,18,16,18,27,1853,82.89657058023532,276
Amazon SDE,50,26,10,57,95,45,1743,37.77108277022525,470
Interview Preparation,24,57,84,98,89,18,1487,63.03154043104533,465
Campus Placement,18,76,72,67,62,14,1221,74.63670931523893,1393
Amazon SDE,79,54,17,46,66,1,2050,75.2665324648847,1101
Zoho,59,91,11,64,10,48,1721,54.22462271909617,1016
Zoho,52,55,42,13,24,13,1153,42.39569880054112,872
Infosys,53,22,86,76,62,17,1852,51.29269593618435,1445
Microsoft,69,26,49,15,38,73,1449,71.31339899633403,500
Google SDE,69,85,39,32,73,5,1796,84.65778407543695,1082
Microsoft,32,52,76,98,59,94,1878,60.485906433401,573
Zoho,73,12,34,4,44,20,1201,40.73184247570173,1135
Competitive Programming,26,40,56,55,0,22,1359,32.306412172394786,225
Competitive Programming,85,94,55,36,46,16,1474,81.90294119437132,1471
Amazon SDE,16,87,27,11,49,38,1427,56.56682612497536,568
Interview Preparation,92,16,61,72,70,62,1091,69.41259676847427,168
Zoho,65,78,98,64,16,49,1433,66.30995693303785,498
Zoho,23,39,86,36,96,97,1312,78.99792062827981,695
Zoho,23,61,14,81,93,70,1317,44.63498149013907,1275
Campus Placement,33,15,7,64,30,5,927,54.29460513055743,803
Google SDE,27,6,14,46,26,64,0,80.24914575914556,14
Campus Placement,14,48,64,6,30,17,2042,62.20669054833642,370
Google SDE,53,60,34,22,89,34,1536,33.92489000205401,468
Microsoft,83,77,57,16,17,46,1305,40.69662970986577,257
TCS,88,98,75,41,72,66,1561,43.04682593658638,955
Amazon SDE,70,86,8,61,91,64,1822,84.65820213032754,431
Competitive Programming,89,9,38,53,86,2,1184,42.327644453126126,24
Infosys,60,64,96,43,70,81,1905,77.83262393884641,745
Zoho,6,74,20,48,47,14,1079,34.29526074721488,1155
Microsoft,47,40,94,30,25,13,1282,39.99463813922874,286
Campus Placement,35,3,59,42,84,36,1256,77.96303664184992,462
Infosys,39,36,93,9,95,16,1765,79.44150622029278,1423
Interview Preparation,41,18,42,48,28,91,1068,39.69079385740407,1327
Google SDE,52,42,62,11,98,15,1719,42.64187013091123,607
Infosys,21,37,41,36,55,28,1344,59.18120322326881,455
Amazon SDE,75,86,82,32,90,18,1441,32.89756236576166,219
Zoho,92,23,33,43,57,87,1755,81.99062921004483,723
Zoho,85,76,16,32,67,19,1544,49.914219880042545,311
Interview Preparation,49,95,97,44,30,91,1783,56.91083811812835,1256
Interview Preparation,34,64,64,46,74,20,1713,35.77765953201515,12
Competitive Programming,25,85,24,71,97,22,2185,31.789954899922805,999
Competitive Programming,8,48,98,75,45,69,1745,55.729929855844176,1126
TCS,71,95,57,52,12,71,1436,36.69170535471681,529
Microsoft,64,47,9,26,64,10,1418,64.66752785230025,1461
TCS,91,12,96,58,83,54,1920,73.69647168349215,502
Campus Placement,83,99,77,98,33,60,1496,31.741912244758957,1268
Competitive Programming,45,46,5,90,30,36,1558,63.672237634258806,629
Competitive Programming,26,20,49,74,41,9,1766,74.85947128968607,1194
Google SDE,78,79,19,49,60,16,1309,54.16853887425856,340
Campus Placement,1,8,45,73,90,75,1146,82.78375651136464,342
Zoho,54,67,75,19,90,49,1586,36.11571986807531,59
Zoho,53,88,90,96,89,16,1268,47.76414548984607,872
Interview Preparation,13,79,10,55,61,42,1871,42.65412686645638,281
Campus Placement,44,73,78,17,14,25,681,84.7905135547536,589
TCS,40,73,27,79,26,23,1266,46.17969948130683,1285
TCS,74,94,1,64,41,65,1508,51.33597116167077,569
Campus Placement,1,24,63,78,63,33,1229,76.61890693399403,705
Interview Preparation,5,72,13,53,38,95,1859,81.14799293925273,1123
Infosys,90,27,68,4,0,87,1502,81.57609761287749,455
Campus Placement,7,77,73,14,90,93,1236,60.6992421256996,1026
Zoho,5,4,77,61,72,77,1512,66.4816224326382,1365
Interview Preparation,81,73,81,85,93,57,1012,49.204444971987925,1172
Competitive Programming,56,37,97,37,75,85,1595,63.39373011426546,366
Interview Preparation,27,27,80,44,8,92,1836,46.6511437648089,283
TCS,85,73,27,88,67,83,1394,71.03155959976273,1052
Amazon SDE,70,32,37,60,30,15,1437,46.89655641035466,320
Competitive Programming,79,47,94,51,48,15,1100,78.36758895331354,879
Competitive Programming,41,83,32,96,39,71,1211,37.89161390996895,895
Campus Placement,39,63,99,59,2,1,1754,61.44928210316496,163
Campus Placement,42,94,53,99,16,87,1403,58.63715229512212,1423
TCS,8,6,59,23,33,79,2107,44.50446109168521,1293
Competitive Programming,34,90,3,62,41,63,1611,31.540116004728198,629
Microsoft,3,7,53,59,31,79,1095,38.16935275183153,892
TCS,46,13,86,9,38,1,2128,83.23731416013253,806
Interview Preparation,76,7,20,45,53,41,1007,81.77174902016539,134
Competitive Programming,74,2,24,67,42,3,1320,36.56153977891233,1387
Interview Preparation,37,3,50,5,65,9,1488,50.61731093781354,1306
Competitive Programming,45,19,14,72,10,22,1530,55.58196405218234,628
Infosys,14,62,77,43,7,77,1250,56.29395619341817,254
Campus Placement,34,76,12,77,34,23,1439,46.435090125604816,857
Infosys,89,69,60,91,26,73,1836,80.21240579685377,459
Google SDE,59,3,96,81,92,94,1840,79.96698302658574,939
Amazon SDE,54,20,20,30,72,59,1983,31.041063129465112,1280
Amazon SDE,39,85,43,34,72,89,1175,65.75007565345841,529
Campus Placement,68,42,60,34,16,14,1524,34.08993246567441,1174
Competitive Programming,4,50,23,99,1,26,1572,62.86237141722014,371
Amazon SDE,18,82,88,18,21,91,887,77.67910930209894,17
Amazon SDE,98,86,34,32,60,84,1342,65.72420222929401,487
Campus Placement,60,16,22,94,80,77,1601,55.7910188219069,1385
TCS,11,3,67,88,1,6,1389,82.68426510443766,504
Interview Preparation,50,31,54,58,87,38,1229,71.06292206596468,842
Interview Preparation,33,28,20,46,89,69,1546,43.712015501404196,1460
Campus Placement,37,94,23,70,16,34,1797,51.281529557860964,1072
Campus Placement,87,84,89,67,66,15,1492,71.79314337219802,602
Google SDE,43,49,60,1,21,25,784,31.062283646383055,196
Google SDE,78,73,88,88,32,67,1792,33.517981640154964,763
Amazon SDE,23,40,7,24,54,60,1047,77.26827481528716,102
Campus Placement,95,36,69,33,69,9,1076,32.36202942986277,95
TCS,63,45,99,52,53,25,1506,67.31826126595342,1077
Amazon SDE,43,9,61,24,41,12,1510,47.53982763807092,146
Campus Placement,13,99,97,21,39,42,1232,75.42404447595901,430
Campus Placement,30,91,2,36,75,71,1648,76.6040336041845,83
Microsoft,53,83,15,0,16,26,1421,82.43365094449507,1189
Microsoft,4,22,5,31,32,11,963,35.255225417061546,1288
Zoho,99,3,20,78,38,58,1123,53.25658550761423,180
Campus Placement,29,57,2,47,24,41,1333,61.56772244754397,179
Campus Placement,58,55,64,77,57,31,1434,80.38312837743958,881
Competitive Programming,77,48,70,6,95,15,1258,44.65827799882084,331
Interview Preparation,33,25,23,66,77,49,866,33.93951198999166,465
TCS,56,42,19,65,95,34,1209,41.09705413267556,953
Competitive Programming,0,85,33,56,45,21,1617,57.256807806535434,799
Amazon SDE,64,45,45,35,95,70,1438,67.45780512533346,622
Google SDE,41,27,71,92,5,95,1696,67.98707117217609,1188
Competitive Programming,36,8,88,73,93,90,1654,34.10648189018724,898
Competitive Programming,26,84,37,12,33,81,899,71.87756455093312,358
Interview Preparation,55,4,27,82,11,40,1219,66.31316717706883,1484
Campus Placement,10,19,36,43,47,46,1624,52.41487529673437,1206
Competitive Programming,75,40,60,81,49,10,1567,61.40974476326333,19
Google SDE,6,81,24,61,20,6,1565,72.22572454603213,749
Competitive Programming,20,95,75,67,45,62,1716,44.41510114003441,1298
Microsoft,40,62,42,46,38,92,1799,81.70184268722637,1471
Zoho,96,88,19,29,58,67,894,37.57721827208647,1280
Campus Placement,52,53,81,72,8,16,1291,79.62225464369583,676
Campus Placement,29,43,32,34,76,24,1611,70.74718758666059,555
Infosys,58,39,32,50,76,58,1652,66.32852406310566,138
Amazon SDE,30,3,38,52,18,36,1939,34.55993984922729,610
Interview Preparation,13,76,11,9,6,73,1863,80.54525341556287,614
Microsoft,94,67,77,42,96,53,1760,46.2431692797217,336
Zoho,59,25,19,0,74,99,1274,71.00867134716941,989
Google SDE,50,0,17,1,73,79,1672,78.66407769794799,413
TCS,98,77,73,4,77,11,2012,43.43559213711163,638
Infosys,29,53,16,31,74,16,1868,80.30304239854571,1392
Infosys,68,79,4,94,52,8,1531,63.65679067267153,727
Amazon SDE,0,33,63,38,20,31,1852,66.24674802636255,1050
Zoho,23,4,27,27,54,81,1486,80.29820875443599,283
Zoho,24,94,32,70,40,56,1489,58.97042070740989,694
Microsoft,30,80,37,50,38,87,1352,54.23561566885677,125
Campus Placement,73,88,84,1,74,7,1004,64.82774721665186,870
Zoho,51,27,38,74,26,32,1706,60.47129343821778,702
Campus Placement,16,16,91,47,40,11,1390,33.38116418460306,1124
Microsoft,33,21,64,82,60,33,1464,39.92706258123337,1115
Zoho,91,83,2,26,23,66,1574,30.746156340765758,333
Microsoft,86,45,76,47,64,51,1247,35.94895617239466,970
Zoho,82,40,25,63,59,0,1685,70.14173128776713,123
Zoho,27,80,69,86,77,28,1377,30.259113899294213,1091
Zoho,19,45,88,94,90,4,1389,46.74230330342718,163
Microsoft,12,3,34,69,49,37,468,54.712677240823275,1437
Infosys,75,10,18,48,57,20,1467,81.57967370043355,1299
TCS,44,57,49,8,9,58,1142,47.98538597844539,324
Infosys,14,38,34,32,95,97,1314,73.0721919709569,1074
Campus Placement,57,13,85,22,10,93,1190,52.48210687539273,114
Zoho,67,31,10,92,93,19,1209,35.41702590447774,1226
Interview Preparation,32,80,88,93,57,94,1354,35.43640613983111,1434
Amazon SDE,35,26,25,69,78,87,1568,53.78386009903848,1311
Competitive Programming,91,45,9,59,35,42,1870,33.18357223338994,363
Google SDE,56,85,45,16,64,61,1469,61.4390582693712,1025
Microsoft,20,1,27,1,85,36,1284,57.150735445178306,742
Google SDE,5,62,82,38,73,1,1325,68.63943521328981,718
Infosys,53,77,18,13,29,62,1706,40.20918411754059,1289
TCS,2,44,35,79,87,73,1549,62.611108954975954,660
Campus Placement,27,37,17,36,6,42,1044,39.59873619899997,833
Interview Preparation,37,2,25,87,96,29,1210,69.7228542409957,956
Campus Placement,47,99,48,67,11,38,1425,46.893726203733856,670
Interview Preparation,11,38,54,28,36,65,1352,63.79289114844764,108
TCS,94,69,7,89,77,2,1239,78.54724930382012,597
Microsoft,40,86,4,18,80,75,1347,56.852876939989315,291
Microsoft,55,56,71,17,8,98,1489,40.57606604610929,412
Zoho,22,20,29,91,46,0,1520,78.73675955059596,1142
Google SDE,67,68,7,91,87,0,1417,49.721875262740944,709
Microsoft,36,60,35,30,73,28,1681,70.1639081440905,208
Interview Preparation,54,74,73,11,89,99,1540,47.60526231910619,1336
Interview Preparation,58,25,26,84,3,8,1099,46.40184934579821,336
Competitive Programming,21,44,14,31,67,11,1303,65.31155426225658,163
Google SDE,42,14,83,67,90,56,1363,38.59712893632823,561
Interview Preparation,4,85,37,22,78,11,1357,77.68356289663541,414
TCS,56,67,81,57,78,73,1167,51.31931926442189,471
Competitive Programming,75,44,38,12,56,21,1240,31.060258978267523,141
Infosys,60,24,75,16,75,82,1675,46.799006048581205,800
Google SDE,53,78,42,94,30,76,1108,73.17314785297262,883
Amazon SDE,57,33,81,21,41,38,1316,77.26473704341322,93
Zoho,77,4,34,72,61,83,1780,61.23341523216077,1432
Zoho,93,2,50,5,11,49,1383,46.17601249233995,763
Campus Placement,22,82,37,72,98,99,2122,59.03197570303881,637
Google SDE,33,54,90,65,9,59,1889,76.00064142474295,1142
Zoho,36,60,71,58,52,35,753,47.3820806350539,230
Amazon SDE,85,4,34,61,19,89,1077,51.199033547779436,562
Campus Placement,46,82,51,7,58,87,1423,59.683177314452436,1401
Microsoft,2,71,95,47,22,61,1309,78.79260076188638,1180
Competitive Programming,83,84,8,8,87,78,1615,62.018191360730576,121
Amazon SDE,27,71,43,98,79,57,1598,41.41883354626593,624
Amazon SDE,45,67,7,20,66,57,950,34.900722088977545,933
Interview Preparation,81,19,71,37,6,39,1752,35.225767631032625,484
TCS,70,35,0,75,47,43,1980,82.2637265582656,845
Zoho,33,69,24,40,66,98,992,75.23268614213549,280
Zoho,42,55,70,2,25,83,1287,72.12200795690745,430
Competitive Programming,11,82,31,23,14,62,1304,57.30005185435256,716
Interview Preparation,33,5,61,27,65,22,1776,66.9896789502673,1400
Campus Placement,84,54,9,60,54,20,1854,37.00316674983607,1313
Competitive Programming,33,87,99,54,11,15,0,64.14926436239705,1316
Google SDE,45,60,85,41,53,97,1262,74.59294029183287,49
Campus Placement,78,4,16,72,94,67,1704,33.41763071299385,198
Zoho,29,28,10,3,5,7,0,46.28827322701025,1197
